tmin	tier	text	tmax
996.076862	EU/tone	2151	996.924881
999.471574	EU/tone	3551	1000.481121
999.471574	word	早*上*?	1000.481121
999.471574	IU/tone	2151	1000.481121
1001.523708	IU/tone	2151	1002.478189
1001.523708	EU/tone	2151	1002.478189
1001.523708	word	早上	1002.478189
1004.168575	word	早上	1005.229517
1004.168575	IU/tone	2151	1005.229517
1004.168575	EU/tone	2155	1005.229517
1005.229517	word	起床	1006.132603
1005.229517	EU/tone	2135	1006.132603
1005.229517	IU/tone	2135	1006.132603
1007.663590	EU/tone	2151	1008.619804
1007.663590	word	早上	1008.619804
1007.663590	IU/tone	2151	1008.619804
1008.619804	IU/tone	2135	1009.238678
1008.619804	EU/tone	2135	1009.238678
1008.619804	word	起床	1009.238678
1014.955397	IU/tone	5135	1016.155841
1014.955397	EU/tone	5135	1016.155841
1014.955397	word	上學	1016.155841
1017.495785	IU/tone	5135	1018.472292
1017.495785	EU/tone	5135	1018.472292
1017.495785	word	上學	1018.472292
1022.731241	EU/tone	55	1023.146073
1022.731241	word	吃	1023.146073
1022.731241	IU/tone	55	1023.146073
1024.986968	word	早上	1025.992844
1024.986968	IU/tone	2151	1025.992844
1024.986968	EU/tone	2151	1025.992844
1028.947997	word	早上*	1030.210848
1028.947997	IU/tone	2151	1030.210848
1028.947997	EU/tone	2151	1030.210848
1030.210848	IU/tone	5135	1031.462687
1030.210848	word	上*學	1031.462687
1030.210848	EU/tone	5135	1031.462687
1053.669272	word	上*學	1054.777939
1053.669272	EU/tone	5535	1054.777939
1053.669272	IU/tone	5135	1054.777939
1056.802787	word	早上	1057.900440
1056.802787	EU/tone	2151	1057.900440
1056.802787	IU/tone	2151	1057.900440
1057.900440	word	上學	1058.994422
1057.900440	IU/tone	5135	1058.994422
1057.900440	EU/tone	5135	1058.994422
1064.584433	IU/tone	3521	1065.476505
1064.584433	EU/tone	3521	1065.476505
1064.584433	word	游泳	1065.476505
1068.870062	EU/tone	3521	1069.894294
1068.870062	word	游泳	1069.894294
1068.870062	IU/tone	3521	1069.894294
1070.366470	EU/tone	3521	1071.023593
1070.366470	IU/tone	3521	1071.023593
1070.366470	word	游*泳	1071.023593
1071.728440	EU/tone	3521	1072.326826
1071.728440	IU/tone	3521	1072.326826
1071.728440	word	游泳	1072.326826
1080.579456	word	早上	1081.254935
1080.579456	EU/tone	2151	1081.254935
1080.579456	IU/tone	2151	1081.254935
1092.921855	word	我?	1093.274279
1092.921855	IU/tone	21	1093.274279
1092.921855	EU/tone	21	1093.274279
1093.274279	EU/tone	5121	1093.689111
1093.274279	IU/tone	5121	1093.689111
1093.274279	word	下午?	1093.689111
1094.273756	EU/tone	21	1094.809733
1094.273756	word	我?	1094.809733
1094.273756	IU/tone	21	1094.809733
1098.506265	IU/tone	2151	1099.556194
1098.506265	word	早上	1099.556194
1098.506265	EU/tone	2151	1099.556194
1101.760328	IU/tone	21	1102.248582
1101.760328	EU/tone	21	1102.248582
1101.760328	word	我	1102.248582
1102.248582	word	早上	1102.872666
1102.248582	EU/tone	2151	1102.872666
1102.248582	IU/tone	2151	1102.872666
1102.872666	word	游泳	1103.911581
1102.872666	IU/tone	3521	1103.911581
1102.872666	EU/tone	3521	1103.911581
1114.860123	word	我*	1115.414456
1114.860123	IU/tone	21	1115.414456
1114.860123	EU/tone	21	1115.414456
1120.630952	IU/tone	21	1121.130219
1120.630952	EU/tone	21	1121.130219
1120.630952	word	我	1121.130219
1121.130219	EU/tone	55	1121.593354
1121.130219	word	呢	1121.593354
1121.130219	IU/tone	55	1121.593354
1127.723749	word	中	1128.208331
1127.723749	IU/tone	55	1128.208331
1127.723749	EU/tone	55	1128.208331
1129.394090	word	晚	1129.783225
1129.394090	EU/tone	21	1129.783225
1129.394090	IU/tone	21	1129.783225
1131.817154	word	我	1132.059445
1131.817154	EU/tone	21	1132.059445
1131.817154	IU/tone	21	1132.059445
1132.059445	word	晚上	1132.812016
1132.059445	EU/tone	2155	1132.812016
1132.059445	IU/tone	2151	1132.812016
1132.812016	EU/tone	3521	1133.303941
1132.812016	IU/tone	3521	1133.303941
1132.812016	word	游泳	1133.303941
1144.571465	EU/tone	21	1144.850467
1144.571465	IU/tone	21	1144.850467
1144.571465	word	我	1144.850467
1144.850467	EU/tone	51	1145.122127
1144.850467	IU/tone	51	1145.122127
1144.850467	word	要	1145.122127
1145.122127	IU/tone	3521	1145.860015
1145.122127	word	游泳	1145.860015
1145.122127	EU/tone	3521	1145.860015
